target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
AKAP1,s15665,unstim,C1,0.517,0.049,0.045,213,213,0.468,2.034527010026648,99.61157960919812,FALSE,FALSE,D
AKAP1,s15665,unstim,C2,0.501,0.049,0.045,278,278,0.452,2.088116069165324,113.83122767603865,FALSE,FALSE,D
AKAP1,s15665,unstim,C3,0.568,0.049,0.045,249,249,0.5189999999999999,1.865892162770766,64.77002516717846,FALSE,FALSE,D
AKAP1,s15665,unstim,C4,0.546,0.049,0.045,241,241,0.49700000000000005,1.93834136881921,78.10123462453707,FALSE,FALSE,D
AKAP1,s15665,unstim,C5,0.521,0.049,0.045,257,257,0.47200000000000003,2.021195342295141,96.33833547899819,FALSE,FALSE,D
AKAP1,s15665,unstim,C6,0.582,0.05,0.046,240,240,0.5319999999999999,1.8231745940416741,57.89094054077829,FALSE,FALSE,D
AKAP1,s15665,stim,C7,0.224,0.045,0.044,272,272,0.179,3.1698133852758166,1469.8098317135978,FALSE,FALSE,D
AKAP1,s15665,stim,C8,0.23,0.045,0.044,253,253,0.185,3.1399884244107525,1371.6843470253539,FALSE,FALSE,D
AKAP1,s15665,stim,C9,0.218,0.046,0.045,265,265,0.172,3.2051706961978694,1595.2125325420575,FALSE,FALSE,D
AKAP1,s15665,stim,C10,0.223,0.045,0.044,276,276,0.178,3.17482687225161,1486.9761879196265,FALSE,FALSE,D
AKAP1,s15665,stim,C11,0.223,0.046,0.045,266,266,0.177,3.1798527493059203,1504.385025896021,FALSE,FALSE,D
AKAP1,s15665,stim,C12,0.231,0.052,0.051,302,302,0.17900000000000002,3.1698133852758166,1469.8098317135978,FALSE,FALSE,D
AKAP1,s15666,unstim,D1,0.512,0.052,0.049,203,203,0.46,2.0612661210989995,106.4874520835792,FALSE,FALSE,D
AKAP1,s15666,unstim,D2,0.548,0.05,0.046,254,254,0.49800000000000005,1.9350409965757085,77.44437760947665,FALSE,FALSE,D
AKAP1,s15666,unstim,D3,0.487,0.049,0.045,267,267,0.438,2.1354055638425415,127.92267851655446,FALSE,FALSE,D
AKAP1,s15666,unstim,D4,0.511,0.048,0.045,262,262,0.463,2.0512265972641,103.85606442760245,FALSE,FALSE,D
AKAP1,s15666,unstim,D5,0.522,0.051,0.048,255,255,0.47100000000000003,2.0245260177725943,97.14670466898812,FALSE,FALSE,D
AKAP1,s15666,unstim,D6,0.522,0.049,0.045,260,260,0.47300000000000003,2.0178661227202586,95.53649140467715,FALSE,FALSE,D
AKAP1,s15666,stim,D7,0.214,0.044,0.044,275,275,0.16999999999999998,3.215387341212264,1633.3905195122054,FALSE,FALSE,D
AKAP1,s15666,stim,D8,0.22,0.045,0.045,260,260,0.175,3.189941981629564,1539.946597248698,FALSE,FALSE,D
AKAP1,s15666,stim,D9,0.2,0.046,0.045,294,294,0.15400000000000003,3.2990521467356695,1982.249252446287,FALSE,FALSE,D
AKAP1,s15666,stim,D10,0.224,0.045,0.044,272,272,0.179,3.1698133852758166,1469.8098317135978,FALSE,FALSE,D
AKAP1,s15666,stim,D11,0.233,0.045,0.044,269,269,0.188,3.1252371604009284,1325.5867174766965,FALSE,FALSE,D
AKAP1,s15666,stim,D12,0.218,0.045,0.044,309,309,0.173,3.2000817041442677,1576.5282620361313,FALSE,FALSE,D
MBNL2,s19767,unstim,A1,0.63,0.05,0.046,199,199,0.58,1.664985642962923,37.573448001764824,FALSE,FALSE,D
MBNL2,s19767,unstim,A2,0.575,0.049,0.045,197,197,0.5259999999999999,1.8428868538127126,60.98137904296509,FALSE,FALSE,D
MBNL2,s19767,unstim,A3,0.547,0.049,0.045,207,207,0.49800000000000005,1.9350409965757085,77.44437760947665,FALSE,FALSE,D
MBNL2,s19767,unstim,A4,0.568,0.049,0.045,213,213,0.5189999999999999,1.865892162770766,64.77002516717846,FALSE,FALSE,D
MBNL2,s19767,unstim,A5,0.578,0.051,0.046,244,244,0.5269999999999999,1.8396012259615597,60.45647594553115,FALSE,FALSE,D
MBNL2,s19767,unstim,A6,0.564,0.05,0.045,252,252,0.5139999999999999,1.8823341378374894,67.6034308495586,FALSE,FALSE,D
MBNL2,s19767,stim,A7,0.31,0.046,0.044,245,245,0.264,2.781962870049975,596.6259978167375,FALSE,FALSE,D
MBNL2,s19767,stim,A8,0.272,0.045,0.044,261,261,0.22700000000000004,2.9423632300890064,867.0527643279462,FALSE,FALSE,D
MBNL2,s19767,stim,A9,0.259,0.049,0.048,270,270,0.21000000000000002,3.0201469484668144,1038.8197902175289,FALSE,FALSE,D
MBNL2,s19767,stim,A10,0.27,0.046,0.044,269,269,0.22400000000000003,2.95588804496302,894.7534299521735,FALSE,FALSE,D
MBNL2,s19767,stim,A11,0.324,0.054,0.052,242,242,0.27,2.7569737327048585,562.7809475459484,FALSE,FALSE,D
MBNL2,s19767,stim,A12,0.269,0.045,0.044,239,239,0.22400000000000003,2.95588804496302,894.7534299521735,FALSE,FALSE,D
MBNL2,s19768,unstim,B1,0.504,0.048,0.045,221,221,0.456,2.07467650572905,110.09860176412563,FALSE,FALSE,D
MBNL2,s19768,unstim,B2,0.519,0.048,0.044,244,244,0.47100000000000003,2.0245260177725943,97.14670466898812,FALSE,FALSE,D
MBNL2,s19768,unstim,B3,0.557,0.049,0.045,228,228,0.508,1.9020800008100012,71.15104422459984,FALSE,FALSE,D
MBNL2,s19768,unstim,B4,0.545,0.049,0.045,245,245,0.49600000000000005,1.9416426134047962,78.76327797414069,FALSE,FALSE,D
MBNL2,s19768,unstim,B5,0.563,0.049,0.045,234,234,0.5139999999999999,1.8823341378374894,67.6034308495586,FALSE,FALSE,D
