target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
HNRNPL,s6740,unstim,C1,0.414,0.047,0.044,371,3719,0.367,2.5843807715961797,370.33849206158214,FALSE,FALSE,D
HNRNPL,s6740,unstim,C2,0.384,0.046,0.043,390,4132,0.338,2.710583860827752,499.84601325865,FALSE,FALSE,D
HNRNPL,s6740,unstim,C3,0.412,0.046,0.043,441,4654,0.366,2.5886996209585127,374.1766755341941,FALSE,FALSE,D
HNRNPL,s6740,unstim,C4,0.437,0.047,0.043,406,4287,0.39,2.485687050324234,292.27046009195703,FALSE,FALSE,D
HNRNPL,s6740,unstim,C5,0.462,0.047,0.044,381,3947,0.41500000000000004,2.379781258433721,226.05718031572493,FALSE,FALSE,D
HNRNPL,s6740,unstim,C6,0.434,0.047,0.044,365,3763,0.387,2.498491050262511,301.42562414827086,FALSE,FALSE,D
HNRNPL,s6740,stim,C7,0.178,0.043,0.042,448,4594,0.135,3.653677877686721,4491.119194657445,FALSE,TRUE,D
HNRNPL,s6740,stim,C8,0.181,0.043,0.042,406,4094,0.138,3.638924023704191,4340.6515910748185,FALSE,TRUE,D
HNRNPL,s6740,stim,C9,0.159,0.043,0.042,457,4640,0.116,3.7477284667774757,5580.3720258462245,FALSE,TRUE,D
HNRNPL,s6740,stim,C10,0.168,0.042,0.042,456,4490,0.126,3.6980964195412316,4976.24727222119,FALSE,TRUE,D
HNRNPL,s6740,stim,C11,0.187,0.044,0.043,461,4402,0.14300000000000002,3.6143920940673704,4101.505550300341,FALSE,TRUE,D
HNRNPL,s6740,stim,C12,0.174,0.043,0.042,531,4805,0.131,3.6733903166808086,4700.302696155387,FALSE,TRUE,D
HNRNPL,s6741,unstim,D1,0.444,0.047,0.044,388,3833,0.397,2.4558909141389473,271.98196680699147,FALSE,FALSE,D
HNRNPL,s6741,unstim,D2,0.413,0.057,0.054,378,3781,0.356,2.6320169616514315,414.85993822926486,FALSE,FALSE,D
HNRNPL,s6741,unstim,D3,0.477,0.047,0.044,397,4110,0.43,2.3169095286315646,193.74281232469653,FALSE,FALSE,D
HNRNPL,s6741,unstim,D4,0.446,0.043,0.04,400,4335,0.403,2.430439919929412,255.72093863548585,FALSE,FALSE,D
