target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
BTG2,s15385,unstim,E1,0.512,0.052,0.048,180,2002,0.46,2.226191058799576,159.53724870139513,FALSE,FALSE,B
BTG2,s15385,unstim,E2,0.428,0.052,0.049,193,2511,0.376,2.467462067943802,284.5971236535607,FALSE,FALSE,B
BTG2,s15385,unstim,E3,0.422,0.048,0.045,204,2553,0.374,2.4734761422018874,288.6883833731168,FALSE,FALSE,B
BTG2,s15385,unstim,E4,0.452,0.048,0.045,189,2479,0.404,2.384846289118858,233.77093968882966,FALSE,FALSE,B
BTG2,s15385,unstim,E5,0.452,0.049,0.046,182,2267,0.403,2.387750670479498,235.3986181581409,FALSE,FALSE,B
BTG2,s15385,unstim,E6,0.449,0.059,0.056,185,2270,0.39,2.4258040847217464,257.7613890689047,FALSE,FALSE,B
BTG2,s15385,stim,E7,0.155,0.044,0.043,191,2332,0.111,3.6248032328361037,4206.250674030289,FALSE,TRUE,B
BTG2,s15385,stim,E8,0.186,0.045,0.044,173,2278,0.14100000000000001,3.421667405369811,2631.5817034451534,FALSE,FALSE,B
BTG2,s15385,stim,E9,0.174,0.046,0.046,179,2140,0.128,3.505009927799354,3190.1640365718417,FALSE,FALSE,B
BTG2,s15385,stim,E10,0.207,0.045,0.044,167,1990,0.16199999999999998,3.299231177266818,1982.9290676633473,FALSE,FALSE,B
BTG2,s15385,stim,E11,0.199,0.045,0.044,178,2046,0.15400000000000003,3.344276928485773,2200.608919890161,FALSE,FALSE,B
BTG2,s15385,stim,E12,0.206,0.047,0.046,174,1758,0.15899999999999997,3.315908770140741,2060.902331799261,FALSE,FALSE,B
BTG2,s15386,unstim,D1,0.469,0.049,0.046,186,2148,0.42,2.338773728460552,209.3550990811173,FALSE,FALSE,B
BTG2,s15386,unstim,D2,0.487,0.048,0.044,188,2263,0.439,2.28490623833739,183.90668223773434,FALSE,FALSE,B
BTG2,s15386,unstim,D3,0.458,0.053,0.049,197,2283,0.405,2.381944995893137,232.15582352778443,FALSE,FALSE,B
BTG2,s15386,unstim,D4,0.489,0.048,0.044,187,2239,0.441,2.27928114979953,181.42673876890157,FALSE,FALSE,B
BTG2,s15386,unstim,D5,0.519,0.05,0.046,181,2181,0.46900000000000003,2.2012253603708043,150.13292833037977,FALSE,FALSE,B
BTG2,s15386,unstim,D6,0.485,0.051,0.048,187,2333,0.434,2.2990040924691195,190.26501034350582,FALSE,FALSE,B
