target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
ELAVL1,s4610e,unstim,A1,0.722,0.05,0.045,159,340,0.6719999999999999,1.7292141710892588,35.99112948849519,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A2,0.717,0.05,0.044,194,2691,0.6669999999999999,1.7442057759700607,37.87389117506655,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A3,0.536,0.047,0.043,201,2968,0.48900000000000005,2.2610892993764495,164.81211148535317,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A4,0.524,0.047,0.044,213,3202,0.47700000000000004,2.2963551127503536,180.24371700477153,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A5,0.502,0.046,0.042,262,4045,0.456,2.3586580278887364,210.76501314221323,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A6,0.499,0.045,0.041,255,3817,0.454,2.3646355849777705,213.9301293203849,FALSE,FALSE,E
ELAVL1,s4610e,stim,A7,0.197,0.042,0.041,255,3972,0.155,3.4616817307700223,2877.6061050676635,FALSE,FALSE,E
ELAVL1,s4610e,stim,A8,0.212,0.043,0.042,241,3699,0.16899999999999998,3.394524732167911,2462.8022228345067,FALSE,FALSE,E
ELAVL1,s4610e,stim,A9,0.211,0.044,0.042,228,3496,0.16699999999999998,3.4039613045229125,2517.287796101869,FALSE,FALSE,E
ELAVL1,s4610e,stim,A10,0.22,0.042,0.041,267,3917,0.178,3.352677192248378,2234.949310587622,FALSE,FALSE,E
ELAVL1,s4610e,stim,A11,0.238,0.045,0.043,245,3706,0.193,3.2850544016514682,1910.15141318808,FALSE,FALSE,E
ELAVL1,s4610e,stim,A12,0.25,0.052,0.051,243,3576,0.198,3.263068115397629,1814.986862411252,FALSE,FALSE,E
HNRNPL,s6740,unstim,B1,0.474,0.046,0.043,203,3176,0.428,2.4431509100066693,259.81342996690927,FALSE,FALSE,E
