GeneID	Mock_0_A.x	AngII_0.25_A.x	AngII_0.5_A.x	AngII_0.75_A.x	AngII_1_A.x	AngII_1.5_A.x	AngII_2_A.x	AngII_3_A.x	AngII_4_A.x	AngII_6_A.x	AngII_8_A.x	AngII_24_A.x	Mock_0_B.x	AngII_0.25_B.x	AngII_0.5_B.x	AngII_0.75_B.x	AngII_1_B.x	AngII_1.5_B.x	AngII_2_B.x	AngII_3_B.x	AngII_4_B.x	AngII_6_B.x	AngII_8_B.x	AngII_24_B.x
A2M-AS1	0.044532817456113	0.213826607138908	0.0791164655319418	0.0523827233261667	0.03076426601976	-0.243753584472466	0.325095371260851	-0.172343941923519	0.113152194119587	-0.0904203924978624	-0.173903269374563	-0.101820068853139	0.0672597070490277	-0.0266329319778599	0.18094346000763	-0.0860465767289975	-0.172807540735279	0.00211278115345392	0.0951341299783524	0.184970841375263	0.237988716678375	-0.267574286462055	-0.129201942238447	-0.162775545831244
A3GALT2	-0.35255403223645	-0.36100986083519	-0.377489891241893	-0.334375039611539	0.377807175095343	0.340046263345203	-0.3263355065465	-0.406519061603725	0.276883215491708	-0.195127180178456	-0.0908859446169183	0.477132417812223	-0.379897527699716	0.367135073052904	0.177755189099808	0.233032819701215	-0.351918471642807	0.440007312892774	0.265172449400534	0.0828368621430373	0.0169539195729818	-0.129394483698733	0.55806651906585	-0.307322216761656
AAR2	-0.00115271855671158	-0.0243548508451337	0.0586051620513747	0.0401702353758425	-0.0157914837437243	0.0174528325957931	-0.0410898827220747	-0.0760340682253443	-0.136263087286757	0.010921917884009	0.0631150035810442	0.0136858849932177	0.0387476571664783	0.0398132457683921	0.0535795416220256	0.0134803476481748	0.0304145837290549	0.0185311561698321	-0.0677267042846191	-0.153438960051832	-0.0450130210069741	0.0439878024691534	0.130095378608993	-0.011735972940214
AARS2	-0.0600574609548767	0.181873758260095	0.22852759485408	0.204654816212438	0.0923216385172045	0.117859679523857	-0.177837681738889	0.0330761126268724	-0.100511560304614	-0.278494397973339	-0.0683031935891542	0.0113058341389457	0.0676170386531947	0.0637682123412009	0.100144402884641	0.0744872489575235	0.104721662431227	-0.0799973038189719	-0.0962885315830072	-0.106754859915165	-0.0466163879078176	-0.352114308476077	-0.0853699595685319	0.171987646429163
AASS	-0.00728278943627308	-0.0212233535828165	-0.0424590405358767	-0.0137512795410098	-0.0369683048964231	-0.0267093363871467	0.0690117014388952	0.112317212700407	0.0734162926802415	-0.00155381035784052	-0.0660462160373604	-0.0978199105303625	0.0297785718459233	-0.0191053894719273	0.0133467384050835	-0.0317644777355759	0.00440662394210882	-0.007259392773882	0.0349824156028048	0.113334549538048	0.10842388191845	0.0125144263320573	-0.0618700045116448	-0.13771910860588
AB015752.3	0.217941007515185	1.33249638296044	0.564480823871026	-1.50198591272561	1.33354945920232	-0.0952140950629594	0.0818376121856703	1.18191020743482	1.12188918538144	-1.33304375166161	1.49531119628174	-1.59801047132129	-1.24761331489862	-1.22557655805332	1.43085217902408	-1.33291954151554	1.71980233502131	-1.40973327181406	0.95161178899319	-0.785144605265047	-1.06656268540014	-1.2177149618991	1.29228672943502	0.0895502623110529
ABC7-42389800N19.1	0.19667179479595	-0.0343041014994666	0.161660311957626	0.160160070861297	0.289578551129112	0.132673560635516	-0.0510499654367775	-0.0411804901813119	-0.0737948011217062	-0.0939507394498622	-0.167573709959622	-0.135236037837169	0.118621737442147	-0.0134793391457371	0.107030017702503	0.0257273503334698	0.203846388195717	-0.0959167095204086	-0.163397123140722	0.0968117599541966	-0.174203603668468	-0.180215756789327	-0.205676615343997	-0.0628025499129599
ABCB4	0.0554274277932251	0.0750875461031962	0.0868500151472507	0.0587663915766717	-0.123069513109163	-0.272857780709789	-0.20541424904467	-0.00440569327582682	-0.0298608446732983	0.125009998609097	0.314162100434962	-0.196497449525218	0.139265205416835	0.00456403194044447	-0.0505073281813255	-0.0172461776022029	-0.122582720856675	-0.107923901266433	-0.136610323993036	-0.0468661800496681	0.0303891889280086	0.249285386943685	0.378058679490601	-0.203023810096673
ABCD2	0.116322466524163	0.0761216434955967	0.100990474659192	0.0397844537264625	-0.0508358395178505	0.0733767617477083	0.316662091214327	0.00838990805025108	-0.184361097353561	-0.396871892532588	-0.204147782316135	-0.00921512928532209	0.185816527554203	0.169870040474629	0.10590211149365	0.129422184496947	0.0791302182882869	0.0549938310510911	0.290282271560183	0.0460711855807552	-0.276173291208824	-0.404569275258967	-0.143693606452972	-0.123268255991226
ABHD13	-0.107181701687311	-0.11949847559286	-0.0917314758703021	-0.0700677120369842	-0.180079006869621	-0.0579159585696446	-0.0109313661470223	0.136984339766725	0.234857780838887	0.170362884602095	0.186654364404351	-0.25382641482726	-0.0499590192337196	-0.161898318591826	-0.0466051398487866	0.0597134047210583	-0.258492683887189	-0.185095229820101	0.13365349495676	0.230028275285488	0.145923976382495	0.358589734329182	0.123822209077382	-0.187307961381796
ABL1	0.0266804532008656	0.0470161753347767	0.0909170854241827	0.110894399602413	0.0742890716279481	0.0705461914283328	-0.152771248975124	-0.0101608408183924	-0.0401050770534116	0.0212023360300057	0.0921629680079322	0.0341081623275044	-0.0676191503880374	0.0311162698231346	-0.0302018393987383	-0.0310961186943027	-0.0295215521171754	-0.0416987391355073	-0.0817164727697641	-0.041323472483438	-0.0570245556942644	-0.0375237370305771	0.156428021819003	-0.134598330067365
ABT1	0.0544119052731035	-0.0706940684464555	0.0433537739498795	0.0879691470967084	0.0103776464355993	-0.0648282568633635	-0.0147741545943743	-0.0781254150435338	-0.0723754045632165	0.0541360909952195	0.124748778365943	-0.0923381387529024	-0.0196877018217753	0.0066522367185276	-0.0505000781067206	0.0602183853744631	0.101331618279869	-0.000598019901025593	-0.0452916936232957	-0.06651783640564	-0.0859516270495763	0.0475612354341621	0.247598794472113	-0.176677217223709
AC000068.5	0.0426646513034734	0.088451857943914	0.206206426709155	0.184703591324334	0.212104801381688	-0.186277475426419	0.214876008211725	0.184411470944869	0.305751305058175	-0.482299816694362	0.033283012554517	0.372305086334286	-0.531461636187361	0.0812221369010379	0.143989983441426	0.28987709315798	-0.186823693729688	0.40460977832494	-0.318313169751437	-0.0481031704863305	-0.486821214880797	-0.635989866862028	-0.255291013086697	0.366923853513598
AC002116.7	-0.143932652660112	-0.386126093563762	-0.107387055445502	0.145686498254645	0.412986850120308	0.10474437664641	-0.168248212185053	-0.219255491877477	0.148012635059733	-0.237628776334595	0.154244128949564	-0.13080361465	0.225501308039051	0.149443497016091	0.117001660483165	0.0135087564471501	0.178537932577662	-0.705637712949085	0.392778784851521	0.260489050893089	0.430480480809329	-0.203580644650733	-0.529613046977744	0.0987973411463448
AC002310.11	-0.621737333964634	0.460806132364964	-0.848098556903271	-0.530531183484841	-0.78502853586003	-0.228656734573035	0.891743636161571	0.131220740223209	-0.535560933031246	-0.0191254697198946	0.699943398681864	-0.586107588252854	0.680729935643697	-0.601491361208335	0.322945491560296	-0.0809395545838925	0.830023934218247	-0.417264231231611	0.29238139701286	0.607608653306473	-0.936316550413303	-0.0453622938874787	0.863724643340635	0.455092364600612
AC003958.2	-0.0334562451864353	-0.0327079883304948	-0.044043886526613	-0.0350222370599442	-0.0531112994861253	-0.0594140628766652	-0.059036599956692	-0.0549815512209233	0.446804110771616	-0.0846878135382246	-0.0856737518202994	-0.0459960854776117	-0.0328492768730044	0.358323678298795	-0.0450041180323693	-0.0473217149537699	-0.0562597651654444	-0.0613096594567567	-0.0593321064545147	-0.0680060609588174	-0.0734944669326111	-0.0786090482687369	0.347370846035814	-0.042180896530168
AC004076.7	-0.098226938484241	-0.0965325586300374	-0.089339957583676	1.51719897628888	-0.103077692514883	-0.0960646458193599	-0.0790374555473937	-0.0141827670610277	-0.0113201056933752	-0.0116681949209352	-0.0186152825262311	-0.11510966288498	-0.0948638589997525	-0.100179089541833	-0.0952836531026164	-0.089938407810719	-0.0887438260082264	-0.109367382275231	-0.0603807827019648	-0.015966613505263	0.0125152240979663	-0.00875017131899836	-0.0479290103996669	-0.08513614305644
AC004556.1	0.0101128122026064	0.0195481437428741	-0.00501347609060088	-0.00726014832379295	-0.0422885316217273	0.643138593045917	-0.0300087603849131	0.00803334795491434	-0.028559488354371	-0.0631047305002002	-0.0910465768680619	-0.00331235084531945	0.0173825911283481	-0.00525237383037619	-0.0125024585058614	-0.0212328600766063	-0.0509221407708411	-0.0482021015979922	-0.0233501654709927	-0.0242530127466709	-0.0579213899165596	-0.0827022133022226	-0.086490606419756	-0.0147921024477944
AC004951.6	0.163012668717562	0.00677033979384972	0.0904183723525412	-0.0374400564074383	-0.14843158579385	-0.220548582698978	-0.129919703726201	0.129121209069274	-0.346244768939769	-0.0608028893182375	-0.0152565185278963	0.0588344316029392	0.327355843840998	0.188814262422573	0.493728572300161	0.0524109649325236	-0.198378976256569	-0.89661500786463	0.147544378344246	0.193357782503094	0.640599739236787	-0.939081618277381	0.30459578395465	0.196155358739751
