Name,Well,"Fluor:530/25,590/35"
ELAVL1_s4610_unstim,A1,340
HNRNPL_s6740_unstim,B1,3176
PEG10_s23005_unstim,C1,2738
TRUB1_s44503_unstim,D1,3467
scramble_unstim,E1,2867
water_unstim,F1,3055
,G1,2
,H1,3
ELAVL1_s4610_unstim,A2,2691
HNRNPL_s6740_unstim,B2,3651
PEG10_s23005_unstim,C2,3079
TRUB1_s44503_unstim,D2,4238
scramble_unstim,E2,4238
water_unstim,F2,3796
,G2,1
,H2,2
ELAVL1_s4610_unstim,A3,2968
HNRNPL_s6740_unstim,B3,4100
PEG10_s23005_unstim,C3,4020
TRUB1_s44503_unstim,D3,5197
scramble_unstim,E3,4219
water_unstim,F3,4170
,G3,2
,H3,2
ELAVL1_s4610_unstim,A4,3202
HNRNPL_s6740_unstim,B4,3909
PEG10_s23005_unstim,C4,3902
TRUB1_s44503_unstim,D4,4524
scramble_unstim,E4,4261
water_unstim,F4,4013
,G4,2
,H4,2
ELAVL1_s4610_unstim,A5,4045
HNRNPL_s6740_unstim,B5,4043
PEG10_s23005_unstim,C5,3775
TRUB1_s44503_unstim,D5,4491
scramble_unstim,E5,4385
water_unstim,F5,3637
,G5,2
,H5,2
ELAVL1_s4610_unstim,A6,3817
HNRNPL_s6740_unstim,B6,3893
PEG10_s23005_unstim,C6,3920
TRUB1_s44503_unstim,D6,4590
scramble_unstim,E6,4366
water_unstim,F6,4014
,G6,2
,H6,2
ELAVL1_s4610_stim,A7,3972
HNRNPL_s6740_stim,B7,3811
PEG10_s23005_stim,C7,3791
TRUB1_s44503_stim,D7,4448
scramble_stim,E7,4282
water_stim,F7,4246
,G7,2
,H7,2
ELAVL1_s4610_stim,A8,3699
HNRNPL_s6740_stim,B8,3800
PEG10_s23005_stim,C8,3999
TRUB1_s44503_stim,D8,4277
scramble_stim,E8,3909
water_stim,F8,4111
,G8,2
,H8,2
ELAVL1_s4610_stim,A9,3496
HNRNPL_s6740_stim,B9,4107
PEG10_s23005_stim,C9,3948
TRUB1_s44503_stim,D9,4297
scramble_stim,E9,3799
water_stim,F9,3926
mediaOnly,G9,349
mediaOnly,H9,332
ELAVL1_s4610_stim,A10,3917
HNRNPL_s6740_stim,B10,3828
PEG10_s23005_stim,C10,3727
TRUB1_s44503_stim,D10,4125
scramble_stim,E10,3970
water_stim,F10,4132
mediaOnly,G10,349
mediaOnly,H10,343
ELAVL1_s4610_stim,A11,3706
HNRNPL_s6740_stim,B11,3897
PEG10_s23005_stim,C11,3565
TRUB1_s44503_stim,D11,4005
scramble_stim,E11,3512
water_stim,F11,3629
mediaOnly,G11,354
mediaOnly,H11,337
ELAVL1_s4610_stim,A12,3576
HNRNPL_s6740_stim,B12,3739
PEG10_s23005_stim,C12,3531
TRUB1_s44503_stim,D12,4535
scramble_stim,E12,3349
water_stim,F12,2982
mediaOnly,G12,336
mediaOnly,H12,333
