Name,Well,"Fluor:530/25,590/35"
PELO_s28808_unstim,A1,191
PEG10_s23004_unstim,B1,182
PEG10_s23005_unstim,C1,227
TRUB1_s44502_unstim,D1,316
TRUB1_s44503_unstim,E1,244
water_unstim,F1,263
,G1,1
,H1,2
PELO_s28808_unstim,A2,199
PEG10_s23004_unstim,B2,186
PEG10_s23005_unstim,C2,343
TRUB1_s44502_unstim,D2,366
TRUB1_s44503_unstim,E2,387
water_unstim,F2,298
,G2,2
,H2,2
PELO_s28808_unstim,A3,207
PEG10_s23004_unstim,B3,181
PEG10_s23005_unstim,C3,318
TRUB1_s44502_unstim,D3,367
TRUB1_s44503_unstim,E3,388
water_unstim,F3,335
,G3,2
,H3,2
PELO_s28808_unstim,A4,237
PEG10_s23004_unstim,B4,229
PEG10_s23005_unstim,C4,350
TRUB1_s44502_unstim,D4,345
TRUB1_s44503_unstim,E4,375
water_unstim,F4,373
,G4,2
,H4,2
PELO_s28808_unstim,A5,221
PEG10_s23004_unstim,B5,215
PEG10_s23005_unstim,C5,313
TRUB1_s44502_unstim,D5,351
TRUB1_s44503_unstim,E5,359
water_unstim,F5,348
,G5,2
,H5,2
PELO_s28808_unstim,A6,241
PEG10_s23004_unstim,B6,208
PEG10_s23005_unstim,C6,322
TRUB1_s44502_unstim,D6,358
TRUB1_s44503_unstim,E6,368
water_unstim,F6,383
,G6,3
,H6,3
PELO_s28808_stim,A7,255
PEG10_s23004_stim,B7,234
PEG10_s23005_stim,C7,356
TRUB1_s44502_stim,D7,375
TRUB1_s44503_stim,E7,360
water_stim,F7,387
,G7,2
,H7,3
PELO_s28808_stim,A8,240
PEG10_s23004_stim,B8,233
PEG10_s23005_stim,C8,347
TRUB1_s44502_stim,D8,346
TRUB1_s44503_stim,E8,362
water_stim,F8,361
,G8,3
,H8,3
PELO_s28808_stim,A9,241
PEG10_s23004_stim,B9,220
PEG10_s23005_stim,C9,340
TRUB1_s44502_stim,D9,363
TRUB1_s44503_stim,E9,376
water_stim,F9,342
mediaOnly,G9,153
mediaOnly,H9,146
PELO_s28808_stim,A10,265
PEG10_s23004_stim,B10,216
PEG10_s23005_stim,C10,362
TRUB1_s44502_stim,D10,369
TRUB1_s44503_stim,E10,395
water_stim,F10,314
mediaOnly,G10,144
mediaOnly,H10,144
PELO_s28808_stim,A11,263
PEG10_s23004_stim,B11,210
PEG10_s23005_stim,C11,322
TRUB1_s44502_stim,D11,329
TRUB1_s44503_stim,E11,385
water_stim,F11,321
mediaOnly,G11,144
mediaOnly,H11,145
PELO_s28808_stim,A12,262
PEG10_s23004_stim,B12,187
PEG10_s23005_stim,C12,359
TRUB1_s44502_stim,D12,326
TRUB1_s44503_stim,E12,328
water_stim,F12,291
mediaOnly,G12,144
mediaOnly,H12,143
