Name,Well,"Fluor:530/25,590/35"
MSI2_s42756_unstim,A1,163
NR5A1_s5393_unstim,B1,211
NR5A1_s5392_unstim,C1,161
ZFP36_s14979_unstim,D1,145
ZFP36_s14978_unstim,E1,199
water_unstim,F1,221
,G1,1
,H1,2
MSI2_s42756_unstim,A2,147
NR5A1_s5393_unstim,B2,210
NR5A1_s5392_unstim,C2,157
ZFP36_s14979_unstim,D2,142
ZFP36_s14978_unstim,E2,226
water_unstim,F2,186
,G2,1
,H2,2
MSI2_s42756_unstim,A3,162
NR5A1_s5393_unstim,B3,209
NR5A1_s5392_unstim,C3,163
ZFP36_s14979_unstim,D3,144
ZFP36_s14978_unstim,E3,204
water_unstim,F3,201
,G3,0
,H3,2
MSI2_s42756_unstim,A4,157
NR5A1_s5393_unstim,B4,236
NR5A1_s5392_unstim,C4,165
ZFP36_s14979_unstim,D4,152
ZFP36_s14978_unstim,E4,232
water_unstim,F4,235
,G4,2
,H4,2
MSI2_s42756_unstim,A5,163
NR5A1_s5393_unstim,B5,234
NR5A1_s5392_unstim,C5,160
ZFP36_s14979_unstim,D5,134
ZFP36_s14978_unstim,E5,215
water_unstim,F5,229
,G5,1
,H5,1
MSI2_s42756_unstim,A6,167
NR5A1_s5393_unstim,B6,294
NR5A1_s5392_unstim,C6,172
ZFP36_s14979_unstim,D6,145
ZFP36_s14978_unstim,E6,243
water_unstim,F6,217
,G6,1
,H6,2
MSI2_s42756_stim,A7,174
NR5A1_s5393_stim,B7,280
NR5A1_s5392_stim,C7,177
ZFP36_s14979_stim,D7,147
ZFP36_s14978_stim,E7,249
water_stim,F7,202
,G7,2
,H7,3
MSI2_s42756_stim,A8,176
NR5A1_s5393_stim,B8,258
NR5A1_s5392_stim,C8,179
ZFP36_s14979_stim,D8,149
ZFP36_s14978_stim,E8,222
water_stim,F8,183
,G8,1
,H8,2
MSI2_s42756_stim,A9,166
NR5A1_s5393_stim,B9,267
NR5A1_s5392_stim,C9,183
ZFP36_s14979_stim,D9,156
ZFP36_s14978_stim,E9,256
water_stim,F9,180
mediaOnly,G9,129
mediaOnly,H9,127
MSI2_s42756_stim,A10,177
NR5A1_s5393_stim,B10,256
NR5A1_s5392_stim,C10,188
ZFP36_s14979_stim,D10,156
ZFP36_s14978_stim,E10,275
water_stim,F10,194
mediaOnly,G10,143
mediaOnly,H10,143
MSI2_s42756_stim,A11,179
NR5A1_s5393_stim,B11,254
NR5A1_s5392_stim,C11,186
ZFP36_s14979_stim,D11,144
ZFP36_s14978_stim,E11,252
water_stim,F11,184
mediaOnly,G11,130
mediaOnly,H11,133
MSI2_s42756_stim,A12,171
NR5A1_s5393_stim,B12,239
NR5A1_s5392_stim,C12,177
ZFP36_s14979_stim,D12,150
ZFP36_s14978_stim,E12,258
water_stim,F12,194
mediaOnly,G12,122
mediaOnly,H12,120
