Name,Well,"Fluor:530/25,590/35"
ELAVL1_s4610_unstim,A1,159
HNRNPL_s6740_unstim,B1,203
PEG10_s23005_unstim,C1,196
TRUB1_s44503_unstim,D1,215
scramble_unstim,E1,207
water_unstim,F1,215
,G1,3
,H1,3
ELAVL1_s4610_unstim,A2,194
HNRNPL_s6740_unstim,B2,219
PEG10_s23005_unstim,C2,208
TRUB1_s44503_unstim,D2,255
scramble_unstim,E2,255
water_unstim,F2,238
,G2,3
,H2,3
ELAVL1_s4610_unstim,A3,201
HNRNPL_s6740_unstim,B3,234
PEG10_s23005_unstim,C3,218
TRUB1_s44503_unstim,D3,273
scramble_unstim,E3,245
water_unstim,F3,250
,G3,3
,H3,3
ELAVL1_s4610_unstim,A4,213
HNRNPL_s6740_unstim,B4,233
PEG10_s23005_unstim,C4,216
TRUB1_s44503_unstim,D4,236
scramble_unstim,E4,248
water_unstim,F4,245
,G4,3
,H4,3
ELAVL1_s4610_unstim,A5,262
HNRNPL_s6740_unstim,B5,236
PEG10_s23005_unstim,C5,217
TRUB1_s44503_unstim,D5,236
scramble_unstim,E5,244
water_unstim,F5,223
,G5,3
,H5,2
ELAVL1_s4610_unstim,A6,255
HNRNPL_s6740_unstim,B6,237
PEG10_s23005_unstim,C6,228
TRUB1_s44503_unstim,D6,246
scramble_unstim,E6,242
water_unstim,F6,243
,G6,2
,H6,2
ELAVL1_s4610_stim,A7,255
HNRNPL_s6740_stim,B7,244
PEG10_s23005_stim,C7,231
TRUB1_s44503_stim,D7,247
scramble_stim,E7,250
water_stim,F7,259
,G7,3
,H7,3
ELAVL1_s4610_stim,A8,241
HNRNPL_s6740_stim,B8,258
PEG10_s23005_stim,C8,244
TRUB1_s44503_stim,D8,239
scramble_stim,E8,249
water_stim,F8,258
,G8,2
,H8,3
ELAVL1_s4610_stim,A9,228
HNRNPL_s6740_stim,B9,256
PEG10_s23005_stim,C9,239
TRUB1_s44503_stim,D9,252
scramble_stim,E9,242
water_stim,F9,262
mediaOnly,G9,156
mediaOnly,H9,165
ELAVL1_s4610_stim,A10,267
HNRNPL_s6740_stim,B10,253
PEG10_s23005_stim,C10,233
TRUB1_s44503_stim,D10,251
scramble_stim,E10,236
water_stim,F10,273
mediaOnly,G10,183
mediaOnly,H10,196
ELAVL1_s4610_stim,A11,245
HNRNPL_s6740_stim,B11,260
PEG10_s23005_stim,C11,240
TRUB1_s44503_stim,D11,257
scramble_stim,E11,251
water_stim,F11,252
mediaOnly,G11,197
mediaOnly,H11,167
ELAVL1_s4610_stim,A12,243
HNRNPL_s6740_stim,B12,296
PEG10_s23005_stim,C12,263
TRUB1_s44503_stim,D12,308
scramble_stim,E12,264
water_stim,F12,236
mediaOnly,G12,166
mediaOnly,H12,165
