Name,Well,"Fluor:530/25,590/35"
PELO_s28808_unstim,A1,1732
PEG10_s23004_unstim,B1,1527
PEG10_s23005_unstim,C1,2630
TRUB1_s44502_unstim,D1,3304
TRUB1_s44503_unstim,E1,2803
water_unstim,F1,2826
,G1,3
,H1,2
PELO_s28808_unstim,A2,1860
PEG10_s23004_unstim,B2,1664
PEG10_s23005_unstim,C2,3867
TRUB1_s44502_unstim,D2,4155
TRUB1_s44503_unstim,E2,4363
water_unstim,F2,3385
,G2,4
,H2,3
PELO_s28808_unstim,A3,2083
PEG10_s23004_unstim,B3,1487
PEG10_s23005_unstim,C3,3791
TRUB1_s44502_unstim,D3,4254
TRUB1_s44503_unstim,E3,4480
water_unstim,F3,3683
,G3,3
,H3,3
PELO_s28808_unstim,A4,2251
PEG10_s23004_unstim,B4,2205
PEG10_s23005_unstim,C4,4061
TRUB1_s44502_unstim,D4,4102
TRUB1_s44503_unstim,E4,4336
water_unstim,F4,3932
,G4,3
,H4,3
PELO_s28808_unstim,A5,1940
PEG10_s23004_unstim,B5,2011
PEG10_s23005_unstim,C5,3849
TRUB1_s44502_unstim,D5,4123
TRUB1_s44503_unstim,E5,4187
water_unstim,F5,3958
,G5,3
,H5,3
PELO_s28808_unstim,A6,2248
PEG10_s23004_unstim,B6,1872
PEG10_s23005_unstim,C6,3801
TRUB1_s44502_unstim,D6,4453
TRUB1_s44503_unstim,E6,4278
water_unstim,F6,4295
,G6,2
,H6,3
PELO_s28808_stim,A7,2461
PEG10_s23004_stim,B7,2140
PEG10_s23005_stim,C7,4295
TRUB1_s44502_stim,D7,4428
TRUB1_s44503_stim,E7,4276
water_stim,F7,4101
,G7,3
,H7,3
PELO_s28808_stim,A8,2313
PEG10_s23004_stim,B8,2146
PEG10_s23005_stim,C8,4070
TRUB1_s44502_stim,D8,4057
TRUB1_s44503_stim,E8,4249
water_stim,F8,4002
,G8,2
,H8,3
PELO_s28808_stim,A9,2316
PEG10_s23004_stim,B9,2029
PEG10_s23005_stim,C9,4037
TRUB1_s44502_stim,D9,4215
TRUB1_s44503_stim,E9,4119
water_stim,F9,3701
mediaOnly,G9,319
mediaOnly,H9,316
PELO_s28808_stim,A10,2656
PEG10_s23004_stim,B10,1759
PEG10_s23005_stim,C10,4414
TRUB1_s44502_stim,D10,4268
TRUB1_s44503_stim,E10,4397
water_stim,F10,3683
mediaOnly,G10,317
mediaOnly,H10,313
PELO_s28808_stim,A11,2576
PEG10_s23004_stim,B11,1883
PEG10_s23005_stim,C11,3732
TRUB1_s44502_stim,D11,3789
TRUB1_s44503_stim,E11,4057
water_stim,F11,3247
mediaOnly,G11,317
mediaOnly,H11,314
PELO_s28808_stim,A12,2520
PEG10_s23004_stim,B12,1616
PEG10_s23005_stim,C12,3724
TRUB1_s44502_stim,D12,3392
TRUB1_s44503_stim,E12,3275
water_stim,F12,2906
mediaOnly,G12,316
mediaOnly,H12,312
