Name,Well,"Fluor:530/25,590/35"
MBNL1_s8553_unstim,A1,364
MBNL1_s8555_unstim,B1,359
HNRNPL_s6740_unstim,C1,371
HNRNPL_s6741_unstim,D1,388
PNRC2_s31123_unstim,E1,421
water_unstim,F1,397
,G1,5
,H1,4
MBNL1_s8553_unstim,A2,355
MBNL1_s8555_unstim,B2,358
HNRNPL_s6740_unstim,C2,390
HNRNPL_s6741_unstim,D2,378
PNRC2_s31123_unstim,E2,449
water_unstim,F2,428
,G2,5
,H2,5
MBNL1_s8553_unstim,A3,402
MBNL1_s8555_unstim,B3,478
HNRNPL_s6740_unstim,C3,441
HNRNPL_s6741_unstim,D3,397
PNRC2_s31123_unstim,E3,479
water_unstim,F3,377
,G3,5
,H3,4
MBNL1_s8553_unstim,A4,184
MBNL1_s8555_unstim,B4,449
HNRNPL_s6740_unstim,C4,406
HNRNPL_s6741_unstim,D4,400
PNRC2_s31123_unstim,E4,422
water_unstim,F4,482
,G4,4
,H4,4
MBNL1_s8553_unstim,A5,474
MBNL1_s8555_unstim,B5,433
HNRNPL_s6740_unstim,C5,381
HNRNPL_s6741_unstim,D5,390
PNRC2_s31123_unstim,E5,407
water_unstim,F5,450
,G5,4
,H5,3
MBNL1_s8553_unstim,A6,424
MBNL1_s8555_unstim,B6,414
HNRNPL_s6740_unstim,C6,365
HNRNPL_s6741_unstim,D6,397
PNRC2_s31123_unstim,E6,440
water_unstim,F6,429
,G6,4
,H6,3
MBNL1_s8553_stim,A7,511
MBNL1_s8555_stim,B7,468
HNRNPL_s6740_stim,C7,448
HNRNPL_s6741_stim,D7,402
PNRC2_s31123_stim,E7,435
water_stim,F7,433
,G7,3
,H7,3
MBNL1_s8553_stim,A8,481
MBNL1_s8555_stim,B8,457
HNRNPL_s6740_stim,C8,406
HNRNPL_s6741_stim,D8,398
PNRC2_s31123_stim,E8,448
water_stim,F8,475
,G8,3
,H8,2
MBNL1_s8553_stim,A9,479
MBNL1_s8555_stim,B9,480
HNRNPL_s6740_stim,C9,457
HNRNPL_s6741_stim,D9,410
PNRC2_s31123_stim,E9,466
water_stim,F9,442
mediaOnly,G9,197
mediaOnly,H9,195
MBNL1_s8553_stim,A10,415
MBNL1_s8555_stim,B10,474
HNRNPL_s6740_stim,C10,456
HNRNPL_s6741_stim,D10,434
PNRC2_s31123_stim,E10,430
water_stim,F10,493
mediaOnly,G10,177
mediaOnly,H10,174
MBNL1_s8553_stim,A11,371
MBNL1_s8555_stim,B11,452
HNRNPL_s6740_stim,C11,461
HNRNPL_s6741_stim,D11,445
PNRC2_s31123_stim,E11,456
water_stim,F11,454
mediaOnly,G11,188
mediaOnly,H11,186
MBNL1_s8553_stim,A12,334
MBNL1_s8555_stim,B12,365
HNRNPL_s6740_stim,C12,531
HNRNPL_s6741_stim,D12,467
PNRC2_s31123_stim,E12,506
water_stim,F12,488
mediaOnly,G12,175
mediaOnly,H12,176
