Name,Well,"Fluor:530/25,590/35"
MBNL1_s8553_unstim,A1,3597
MBNL1_s8555_unstim,B1,3701
HNRNPL_s6740_unstim,C1,3719
HNRNPL_s6741_unstim,D1,3833
PNRC2_s31123_unstim,E1,4029
water_unstim,F1,3870
,G1,1
,H1,2
MBNL1_s8553_unstim,A2,3594
MBNL1_s8555_unstim,B2,3632
HNRNPL_s6740_unstim,C2,4132
HNRNPL_s6741_unstim,D2,3781
PNRC2_s31123_unstim,E2,4543
water_unstim,F2,4315
,G2,2
,H2,3
MBNL1_s8553_unstim,A3,3959
MBNL1_s8555_unstim,B3,4828
HNRNPL_s6740_unstim,C3,4654
HNRNPL_s6741_unstim,D3,4110
PNRC2_s31123_unstim,E3,4841
water_unstim,F3,3918
,G3,3
,H3,3
MBNL1_s8553_unstim,A4,429
MBNL1_s8555_unstim,B4,4428
HNRNPL_s6740_unstim,C4,4287
HNRNPL_s6741_unstim,D4,4335
PNRC2_s31123_unstim,E4,4466
water_unstim,F4,4722
,G4,2
,H4,2
MBNL1_s8553_unstim,A5,4532
MBNL1_s8555_unstim,B5,4253
HNRNPL_s6740_unstim,C5,3947
HNRNPL_s6741_unstim,D5,4242
PNRC2_s31123_unstim,E5,4189
water_unstim,F5,4576
,G5,2
,H5,2
MBNL1_s8553_unstim,A6,4131
MBNL1_s8555_unstim,B6,4281
HNRNPL_s6740_unstim,C6,3763
HNRNPL_s6741_unstim,D6,4233
PNRC2_s31123_unstim,E6,4455
water_unstim,F6,4368
,G6,2
,H6,2
MBNL1_s8553_stim,A7,4668
MBNL1_s8555_stim,B7,4715
HNRNPL_s6740_stim,C7,4594
HNRNPL_s6741_stim,D7,4312
PNRC2_s31123_stim,E7,4404
water_stim,F7,4305
,G7,2
,H7,3
MBNL1_s8553_stim,A8,4502
MBNL1_s8555_stim,B8,4470
HNRNPL_s6740_stim,C8,4094
HNRNPL_s6741_stim,D8,4179
PNRC2_s31123_stim,E8,4406
water_stim,F8,4501
,G8,3
,H8,3
MBNL1_s8553_stim,A9,4513
MBNL1_s8555_stim,B9,4658
HNRNPL_s6740_stim,C9,4640
HNRNPL_s6741_stim,D9,4240
PNRC2_s31123_stim,E9,4588
water_stim,F9,4447
mediaOnly,G9,411
mediaOnly,H9,393
MBNL1_s8553_stim,A10,3782
MBNL1_s8555_stim,B10,4581
HNRNPL_s6740_stim,C10,4490
HNRNPL_s6741_stim,D10,4436
PNRC2_s31123_stim,E10,4252
water_stim,F10,4912
mediaOnly,G10,397
mediaOnly,H10,384
MBNL1_s8553_stim,A11,3502
MBNL1_s8555_stim,B11,4017
HNRNPL_s6740_stim,C11,4402
HNRNPL_s6741_stim,D11,4424
PNRC2_s31123_stim,E11,4315
water_stim,F11,4293
mediaOnly,G11,402
mediaOnly,H11,394
MBNL1_s8553_stim,A12,2933
MBNL1_s8555_stim,B12,3275
HNRNPL_s6740_stim,C12,4805
HNRNPL_s6741_stim,D12,4086
PNRC2_s31123_stim,E12,4603
water_stim,F12,4296
mediaOnly,G12,387
mediaOnly,H12,384
