Name,Well,"Fluor:530/25,590/35"
CPEB4_s37202_unstim,A1,118
CPEB4_s37201_unstim,B1,175
ELAVL1_s4610_unstim,C1,191
BTG2_s15386_unstim,D1,186
BTG2_s15385_unstim,E1,180
water_unstim,F1,152
,G1,2
,H1,2
CPEB4_s37202_unstim,A2,185
CPEB4_s37201_unstim,B2,192
ELAVL1_s4610_unstim,C2,202
BTG2_s15386_unstim,D2,188
BTG2_s15385_unstim,E2,193
water_unstim,F2,149
,G2,2
,H2,3
CPEB4_s37202_unstim,A3,158
CPEB4_s37201_unstim,B3,184
ELAVL1_s4610_unstim,C3,207
BTG2_s15386_unstim,D3,197
BTG2_s15385_unstim,E3,204
water_unstim,F3,153
,G3,1
,H3,2
CPEB4_s37202_unstim,A4,196
CPEB4_s37201_unstim,B4,188
ELAVL1_s4610_unstim,C4,206
BTG2_s15386_unstim,D4,187
BTG2_s15385_unstim,E4,189
water_unstim,F4,143
,G4,2
,H4,3
CPEB4_s37202_unstim,A5,200
CPEB4_s37201_unstim,B5,214
ELAVL1_s4610_unstim,C5,212
BTG2_s15386_unstim,D5,181
BTG2_s15385_unstim,E5,182
water_unstim,F5,146
,G5,2
,H5,3
CPEB4_s37202_unstim,A6,178
CPEB4_s37201_unstim,B6,195
ELAVL1_s4610_unstim,C6,215
BTG2_s15386_unstim,D6,187
BTG2_s15385_unstim,E6,185
water_unstim,F6,159
,G6,3
,H6,3
CPEB4_s37202_stim,A7,189
CPEB4_s37201_stim,B7,198
ELAVL1_s4610_stim,C7,225
BTG2_s15386_stim,D7,210
BTG2_s15385_stim,E7,191
water_stim,F7,149
,G7,2
,H7,2
CPEB4_s37202_stim,A8,185
CPEB4_s37201_stim,B8,172
ELAVL1_s4610_stim,C8,193
BTG2_s15386_stim,D8,197
BTG2_s15385_stim,E8,173
water_stim,F8,152
,G8,1
,H8,2
CPEB4_s37202_stim,A9,189
CPEB4_s37201_stim,B9,184
ELAVL1_s4610_stim,C9,199
BTG2_s15386_stim,D9,191
BTG2_s15385_stim,E9,179
water_stim,F9,141
mediaOnly,G9,118
mediaOnly,H9,118
CPEB4_s37202_stim,A10,188
CPEB4_s37201_stim,B10,188
ELAVL1_s4610_stim,C10,201
BTG2_s15386_stim,D10,182
BTG2_s15385_stim,E10,167
water_stim,F10,142
mediaOnly,G10,122
mediaOnly,H10,122
CPEB4_s37202_stim,A11,123
CPEB4_s37201_stim,B11,182
ELAVL1_s4610_stim,C11,202
BTG2_s15386_stim,D11,185
BTG2_s15385_stim,E11,178
water_stim,F11,147
mediaOnly,G11,120
mediaOnly,H11,123
CPEB4_s37202_stim,A12,162
CPEB4_s37201_stim,B12,189
ELAVL1_s4610_stim,C12,192
BTG2_s15386_stim,D12,196
BTG2_s15385_stim,E12,174
water_stim,F12,150
mediaOnly,G12,123
mediaOnly,H12,121
