Well,Target,Sample,Cq
A01,CYP11B2,Ang0hrRep2_MinusRT,34.00630518
A02,CYP11B2,Ang0hrRep2_PlusRT,32.6653381
A03,CYP11B2,Ang0.25hrRep2_MinusRT,35.58708222
A04,CYP11B2,Ang0.25hrRep2_PlusRT,32.81860831
A05,CYP11B2,Ang0.5hrRep2_MinusRT,34.31333918
A06,CYP11B2,Ang0.5hrRep2_PlusRT,32.96275964
A07,CYP11B2,Ang0.75hrRep2_MinusRT,33.787267
A08,CYP11B2,Ang0.75hrRep2_PlusRT,32.58749498
A09,CYP11B2,Ang1hrRep2_MinusRT,35.47585582
A10,CYP11B2,Ang1hrRep2_PlusRT,33.16085882
A11,CYP11B2,Ang1.5hrRep2_MinusRT,34.43253807
A12,CYP11B2,Ang1.5hrRep2_PlusRT,33.33281781
A13,CYP11B2,Ang2hrRep2_MinusRT,35.06554584
A14,CYP11B2,Ang2hrRep2_PlusRT,33.00229916
A15,CYP11B2,Ang3hrRep2_MinusRT,36.78284786
A16,CYP11B2,Ang3hrRep2_PlusRT,32.20700599
A17,CYP11B2,Ang4hrRep2_MinusRT,34.53132709
A18,CYP11B2,Ang4hrRep2_PlusRT,31.55380186
A19,CYP11B2,Ang6hrRep2_MinusRT,34.38692073
A20,CYP11B2,Ang6hrRep2_PlusRT,30.85878053
A21,CYP11B2,Ang8hrRep2_MinusRT,34.8219602
A22,CYP11B2,Ang8hrRep2_PlusRT,29.58498289
A23,CYP11B2,Ang24hrRep2_MinusRT,36.15514526
A24,CYP11B2,Ang24hrRep2_PlusRT,35.21580044
B01,CYP11B2,Ang0hrRep2_MinusRT,33.789742
B02,CYP11B2,Ang0hrRep2_PlusRT,32.48153538
B03,CYP11B2,Ang0.25hrRep2_MinusRT,35.18766662
B04,CYP11B2,Ang0.25hrRep2_PlusRT,33.27268937
B05,CYP11B2,Ang0.5hrRep2_MinusRT,33.94621105
B06,CYP11B2,Ang0.5hrRep2_PlusRT,32.37239175
B07,CYP11B2,Ang0.75hrRep2_MinusRT,34.30656047
B08,CYP11B2,Ang0.75hrRep2_PlusRT,33.06284488
B09,CYP11B2,Ang1hrRep2_MinusRT,35.1318249
B10,CYP11B2,Ang1hrRep2_PlusRT,33.11639547
B11,CYP11B2,Ang1.5hrRep2_MinusRT,35.69327076
B12,CYP11B2,Ang1.5hrRep2_PlusRT,33.43752737
B13,CYP11B2,Ang2hrRep2_MinusRT,35.96930235
B14,CYP11B2,Ang2hrRep2_PlusRT,33.49693167
B15,CYP11B2,Ang3hrRep2_MinusRT,35.23445541
B16,CYP11B2,Ang3hrRep2_PlusRT,32.58685482
B17,CYP11B2,Ang4hrRep2_MinusRT,36.53613096
B18,CYP11B2,Ang4hrRep2_PlusRT,32.02987493
