Well,Target,Sample,Cq
E03,GAPDH,Ang0.25hrRep1_MinusRT,26.6156456
E04,GAPDH,Ang0.25hrRep1_PlusRT,18.1991101
E05,GAPDH,Ang0.5hrRep1_MinusRT,26.6544695
E06,GAPDH,Ang0.5hrRep1_PlusRT,18.21494469
E07,GAPDH,Ang0.75hrRep1_MinusRT,26.72816566
E08,GAPDH,Ang0.75hrRep1_PlusRT,18.24194627
E09,GAPDH,Ang1hrRep1_MinusRT,26.99187279
E10,GAPDH,Ang1hrRep1_PlusRT,18.22639394
E11,GAPDH,Ang1.5hrRep1_MinusRT,28.15595219
E12,GAPDH,Ang1.5hrRep1_PlusRT,18.27527751
E13,GAPDH,Ang2hrRep1_MinusRT,29.2101481
E14,GAPDH,Ang2hrRep1_PlusRT,18.32589964
E15,GAPDH,Ang3hrRep1_MinusRT,27.48105647
E16,GAPDH,Ang3hrRep1_PlusRT,18.6294226
E17,GAPDH,Ang4hrRep1_MinusRT,27.67290533
E18,GAPDH,Ang4hrRep1_PlusRT,17.87584424
E19,GAPDH,Ang6hrRep1_MinusRT,27.16559716
E20,GAPDH,Ang6hrRep1_PlusRT,17.96439957
E21,GAPDH,Ang8hrRep1_MinusRT,29.16374341
E22,GAPDH,Ang8hrRep1_PlusRT,18.10873853
E23,GAPDH,Ang24hrRep1_MinusRT,29.49863624
E24,GAPDH,Ang24hrRep1_PlusRT,18.13164654
F01,GAPDH,Ang0hrRep1_MinusRT,27.41659113
F02,GAPDH,Ang0hrRep1_PlusRT,18.26803449
F03,GAPDH,Ang0.25hrRep1_MinusRT,26.60229975
F04,GAPDH,Ang0.25hrRep1_PlusRT,18.20536111
F05,GAPDH,Ang0.5hrRep1_MinusRT,26.61659171
F06,GAPDH,Ang0.5hrRep1_PlusRT,18.25778559
F07,GAPDH,Ang0.75hrRep1_MinusRT,26.87978867
F08,GAPDH,Ang0.75hrRep1_PlusRT,18.26643724
F09,GAPDH,Ang1hrRep1_MinusRT,27.1610888
F10,GAPDH,Ang1hrRep1_PlusRT,18.15862026
F11,GAPDH,Ang1.5hrRep1_MinusRT,28.49881134
F12,GAPDH,Ang1.5hrRep1_PlusRT,18.20648993
F13,GAPDH,Ang2hrRep1_MinusRT,29.68181156
F14,GAPDH,Ang2hrRep1_PlusRT,18.42272503
F15,GAPDH,Ang3hrRep1_MinusRT,27.66526221
F16,GAPDH,Ang3hrRep1_PlusRT,18.45768015
F17,GAPDH,Ang4hrRep1_MinusRT,27.96509787
F18,GAPDH,Ang4hrRep1_PlusRT,17.92434787
F19,GAPDH,Ang6hrRep1_MinusRT,27.23756531
F20,GAPDH,Ang6hrRep1_PlusRT,17.82776694
F21,GAPDH,Ang8hrRep1_MinusRT,28.73758307
F22,GAPDH,Ang8hrRep1_PlusRT,18.12063763
