Name,Well,Read:450,Read:540,Read:570
MBNL2_s19767_unstim,A1,0.63,0.05,0.046
MBNL2_s19768_unstim,B1,0.504,0.048,0.045
AKAP1_s15665_unstim,C1,0.517,0.049,0.045
AKAP1_s15666_unstim,D1,0.512,0.052,0.049
PNRC2_s31122_unstim,E1,0.474,0.049,0.046
water_unstim,F1,0.535,0.05,0.046
std1,G1,0.149,0.045,0.044
std1,H1,0.153,0.045,0.044
MBNL2_s19767_unstim,A2,0.575,0.049,0.045
MBNL2_s19768_unstim,B2,0.519,0.048,0.044
AKAP1_s15665_unstim,C2,0.501,0.049,0.045
AKAP1_s15666_unstim,D2,0.548,0.05,0.046
PNRC2_s31122_unstim,E2,0.494,0.055,0.052
water_unstim,F2,0.522,0.048,0.045
std2,G2,0.248,0.046,0.045
std2,H2,0.264,0.061,0.06
MBNL2_s19767_unstim,A3,0.547,0.049,0.045
MBNL2_s19768_unstim,B3,0.557,0.049,0.045
AKAP1_s15665_unstim,C3,0.568,0.049,0.045
AKAP1_s15666_unstim,D3,0.487,0.049,0.045
PNRC2_s31122_unstim,E3,0.504,0.057,0.052
water_unstim,F3,0.521,0.049,0.045
std3,G3,0.421,0.049,0.046
std3,H3,0.424,0.048,0.045
MBNL2_s19767_unstim,A4,0.568,0.049,0.045
MBNL2_s19768_unstim,B4,0.545,0.049,0.045
AKAP1_s15665_unstim,C4,0.546,0.049,0.045
AKAP1_s15666_unstim,D4,0.511,0.048,0.045
PNRC2_s31122_unstim,E4,0.479,0.049,0.046
water_unstim,F4,0.494,0.048,0.045
std4,G4,0.579,0.05,0.045
std4,H4,0.594,0.049,0.045
MBNL2_s19767_unstim,A5,0.578,0.051,0.046
MBNL2_s19768_unstim,B5,0.563,0.049,0.045
AKAP1_s15665_unstim,C5,0.521,0.049,0.045
AKAP1_s15666_unstim,D5,0.522,0.051,0.048
PNRC2_s31122_unstim,E5,0.5,0.05,0.046
water_unstim,F5,0.539,0.049,0.045
std5,G5,0.768,0.053,0.047
std5,H5,0.762,0.052,0.046
MBNL2_s19767_unstim,A6,0.564,0.05,0.045
MBNL2_s19768_unstim,B6,0.54,0.05,0.046
AKAP1_s15665_unstim,C6,0.582,0.05,0.046
AKAP1_s15666_unstim,D6,0.522,0.049,0.045
PNRC2_s31122_unstim,E6,0.47,0.049,0.045
water_unstim,F6,0.52,0.048,0.045
std6,G6,0.858,0.054,0.047
std6,H6,0.904,0.053,0.046
MBNL2_s19767_stim,A7,0.31,0.046,0.044
MBNL2_s19768_stim,B7,0.238,0.045,0.044
AKAP1_s15665_stim,C7,0.224,0.045,0.044
AKAP1_s15666_stim,D7,0.214,0.044,0.044
PNRC2_s31122_stim,E7,0.193,0.045,0.044
water_stim,F7,0.218,0.045,0.044
std7,G7,0.885,0.054,0.046
std7,H7,0.9,0.055,0.047
MBNL2_s19767_stim,A8,0.272,0.045,0.044
MBNL2_s19768_stim,B8,0.219,0.044,0.043
AKAP1_s15665_stim,C8,0.23,0.045,0.044
AKAP1_s15666_stim,D8,0.22,0.045,0.045
PNRC2_s31122_stim,E8,0.181,0.047,0.046
water_stim,F8,0.214,0.046,0.045
nsb,G8,0.056,0.043,0.043
nsb,H8,0.057,0.045,0.045
MBNL2_s19767_stim,A9,0.259,0.049,0.048
MBNL2_s19768_stim,B9,0.236,0.045,0.044
AKAP1_s15665_stim,C9,0.218,0.046,0.045
AKAP1_s15666_stim,D9,0.2,0.046,0.045
PNRC2_s31122_stim,E9,0.195,0.046,0.046
water_stim,F9,0.218,0.048,0.048
mediaOnly,G9,0.823,0.06,0.054
mediaOnly,H9,0.823,0.057,0.05
MBNL2_s19767_stim,A10,0.27,0.046,0.044
MBNL2_s19768_stim,B10,0.239,0.045,0.044
AKAP1_s15665_stim,C10,0.223,0.045,0.044
AKAP1_s15666_stim,D10,0.224,0.045,0.044
PNRC2_s31122_stim,E10,0.182,0.045,0.044
water_stim,F10,0.226,0.044,0.043
mediaOnly,G10,0.828,0.054,0.047
mediaOnly,H10,0.825,0.052,0.046
MBNL2_s19767_stim,A11,0.324,0.054,0.052
MBNL2_s19768_stim,B11,0.243,0.045,0.044
AKAP1_s15665_stim,C11,0.223,0.046,0.045
AKAP1_s15666_stim,D11,0.233,0.045,0.044
PNRC2_s31122_stim,E11,0.205,0.045,0.044
water_stim,F11,0.207,0.046,0.045
mediaOnly,G11,0.849,0.053,0.047
mediaOnly,H11,0.848,0.053,0.046
MBNL2_s19767_stim,A12,0.269,0.045,0.044
MBNL2_s19768_stim,B12,0.239,0.045,0.044
AKAP1_s15665_stim,C12,0.231,0.052,0.051
AKAP1_s15666_stim,D12,0.218,0.045,0.044
PNRC2_s31122_stim,E12,0.188,0.049,0.048
water_stim,F12,0.244,0.045,0.044
mediaOnly,G12,0.793,0.052,0.046
mediaOnly,H12,0.823,0.052,0.046
