Name,Well,Read:450,Read:540,Read:570
MSI2_s42756_unstim,A1,0.624,0.057,0.052
NR5A1_s5393_unstim,B1,0.649,0.052,0.045
NR5A1_s5392_unstim,C1,0.687,0.051,0.045
ZFP36_s14979_unstim,D1,0.678,0.051,0.046
ZFP36_s14978_unstim,E1,0.515,0.053,0.049
water_unstim,F1,0.471,0.048,0.045
std1,G1,0.153,0.044,0.043
std1,H1,0.154,0.046,0.045
MSI2_s42756_unstim,A2,0.634,0.05,0.045
NR5A1_s5393_unstim,B2,0.691,0.05,0.045
NR5A1_s5392_unstim,C2,0.689,0.046,0.041
ZFP36_s14979_unstim,D2,0.692,0.052,0.047
ZFP36_s14978_unstim,E2,0.494,0.051,0.048
water_unstim,F2,0.582,0.044,0.04
std2,G2,0.25,0.042,0.04
std2,H2,0.252,0.046,0.045
MSI2_s42756_unstim,A3,0.637,0.049,0.044
NR5A1_s5393_unstim,B3,0.696,0.051,0.046
NR5A1_s5392_unstim,C3,0.645,0.049,0.044
ZFP36_s14979_unstim,D3,0.7,0.055,0.05
ZFP36_s14978_unstim,E3,0.525,0.049,0.045
water_unstim,F3,0.541,0.049,0.045
std3,G3,0.463,0.048,0.044
std3,H3,0.451,0.047,0.044
MSI2_s42756_unstim,A4,0.597,0.049,0.044
NR5A1_s5393_unstim,B4,0.625,0.049,0.045
NR5A1_s5392_unstim,C4,0.653,0.047,0.042
ZFP36_s14979_unstim,D4,0.672,0.049,0.043
ZFP36_s14978_unstim,E4,0.468,0.047,0.044
water_unstim,F4,0.473,0.048,0.045
std4,G4,0.652,0.056,0.051
std4,H4,0.628,0.046,0.041
MSI2_s42756_unstim,A5,0.604,0.049,0.044
NR5A1_s5393_unstim,B5,0.674,0.049,0.044
NR5A1_s5392_unstim,C5,0.64,0.049,0.044
ZFP36_s14979_unstim,D5,0.705,0.059,0.048
ZFP36_s14978_unstim,E5,0.479,0.048,0.045
water_unstim,F5,0.48,0.046,0.043
std5,G5,0.757,0.051,0.045
std5,H5,0.762,0.052,0.047
MSI2_s42756_unstim,A6,0.608,0.054,0.049
NR5A1_s5393_unstim,B6,0.675,0.047,0.041
NR5A1_s5392_unstim,C6,0.699,0.049,0.043
ZFP36_s14979_unstim,D6,0.708,0.049,0.044
ZFP36_s14978_unstim,E6,0.523,0.052,0.048
water_unstim,F6,0.512,0.043,0.039
std6,G6,0.901,0.053,0.046
std6,H6,0.957,0.053,0.045
MSI2_s42756_stim,A7,0.378,0.048,0.045
NR5A1_s5393_stim,B7,0.637,0.042,0.036
NR5A1_s5392_stim,C7,0.512,0.046,0.042
ZFP36_s14979_stim,D7,0.463,0.045,0.041
ZFP36_s14978_stim,E7,0.207,0.044,0.043
water_stim,F7,0.25,0.043,0.042
std7,G7,0.957,0.056,0.049
std7,H7,0.936,0.052,0.045
MSI2_s42756_stim,A8,0.301,0.043,0.042
NR5A1_s5393_stim,B8,0.639,0.044,0.038
NR5A1_s5392_stim,C8,0.456,0.046,0.043
ZFP36_s14979_stim,D8,0.491,0.044,0.04
ZFP36_s14978_stim,E8,0.222,0.036,0.035
water_stim,F8,0.322,0.066,0.061
nsb,G8,0.048,0.04,0.04
nsb,H8,0.048,0.041,0.041
MSI2_s42756_stim,A9,0.36,0.046,0.043
NR5A1_s5393_stim,B9,0.65,0.054,0.049
NR5A1_s5392_stim,C9,0.478,0.045,0.04
ZFP36_s14979_stim,D9,0.417,0.041,0.037
ZFP36_s14978_stim,E9,0.193,0.036,0.034
water_stim,F9,0.285,0.042,0.04
mediaOnly ,G9,0.754,0.047,0.041
mediaOnly ,H9,0.739,0.049,0.043
MSI2_s42756_stim,A10,0.36,0.045,0.043
NR5A1_s5393_stim,B10,0.658,0.047,0.042
NR5A1_s5392_stim,C10,0.441,0.049,0.047
ZFP36_s14979_stim,D10,0.472,0.048,0.044
ZFP36_s14978_stim,E10,0.197,0.04,0.039
water_stim,F10,0.259,0.044,0.043
mediaOnly ,G10,0.78,0.052,0.045
mediaOnly ,H10,0.76,0.049,0.042
MSI2_s42756_stim,A11,0.273,0.045,0.044
NR5A1_s5393_stim,B11,0.662,0.048,0.043
NR5A1_s5392_stim,C11,0.517,0.052,0.048
ZFP36_s14979_stim,D11,0.604,0.054,0.049
ZFP36_s14978_stim,E11,0.215,0.045,0.044
water_stim,F11,0.29,0.044,0.042
mediaOnly ,G11,0.785,0.052,0.046
mediaOnly ,H11,0.786,0.051,0.044
MSI2_s42756_stim,A12,0.346,0.046,0.044
NR5A1_s5393_stim,B12,0.641,0.05,0.045
NR5A1_s5392_stim,C12,0.552,0.048,0.044
ZFP36_s14979_stim,D12,0.496,0.047,0.043
ZFP36_s14978_stim,E12,0.19,0.042,0.041
water_stim,F12,0.291,0.044,0.042
mediaOnly ,G12,0.79,0.057,0.051
mediaOnly ,H12,0.765,0.052,0.046
