Name,Well,Read:450,Read:540,Read:570
MBNL1_s8553_unstim,A1,0.571,0.049,0.044
MBNL1_s8555_unstim,B1,0.466,0.047,0.044
HNRNPL_s6740_unstim,C1,0.414,0.047,0.044
HNRNPL_s6741_unstim,D1,0.444,0.047,0.044
PNRC2_s31123_unstim,E1,0.399,0.047,0.044
water_unstim,F1,0.407,0.047,0.044
std1,G1,0.183,0.044,0.043
std1,H1,0.173,0.043,0.042
MBNL1_s8553_unstim,A2,0.393,0.046,0.043
MBNL1_s8555_unstim,B2,0.371,0.044,0.042
HNRNPL_s6740_unstim,C2,0.384,0.046,0.043
HNRNPL_s6741_unstim,D2,0.413,0.057,0.054
PNRC2_s31123_unstim,E2,0.399,0.046,0.043
water_unstim,F2,0.432,0.047,0.043
std2,G2,0.325,0.044,0.041
std2,H2,0.336,0.046,0.043
MBNL1_s8553_unstim,A3,0.429,0.046,0.043
MBNL1_s8555_unstim,B3,0.356,0.045,0.043
HNRNPL_s6740_unstim,C3,0.412,0.046,0.043
HNRNPL_s6741_unstim,D3,0.477,0.047,0.044
PNRC2_s31123_unstim,E3,0.439,0.047,0.044
water_unstim,F3,0.451,0.046,0.042
std3,G3,0.426,0.047,0.044
std3,H3,0.496,0.047,0.043
MBNL1_s8553_unstim,A4,0.391,0.044,0.041
MBNL1_s8555_unstim,B4,0.368,0.045,0.042
HNRNPL_s6740_unstim,C4,0.437,0.047,0.043
HNRNPL_s6741_unstim,D4,0.446,0.043,0.04
PNRC2_s31123_unstim,E4,0.464,0.047,0.044
water_unstim,F4,0.428,0.046,0.042
std4,G4,0.431,0.046,0.043
std4,H4,0.796,0.05,0.044
MBNL1_s8553_unstim,A5,0.443,0.047,0.043
MBNL1_s8555_unstim,B5,0.396,0.046,0.043
HNRNPL_s6740_unstim,C5,0.462,0.047,0.044
HNRNPL_s6741_unstim,D5,0.519,0.046,0.042
PNRC2_s31123_unstim,E5,0.411,0.047,0.044
water_unstim,F5,0.348,0.046,0.043
std5,G5,0.518,0.047,0.043
std5,H5,0.986,0.054,0.046
MBNL1_s8553_unstim,A6,0.368,0.046,0.043
MBNL1_s8555_unstim,B6,0.325,0.044,0.042
HNRNPL_s6740_unstim,C6,0.434,0.047,0.044
HNRNPL_s6741_unstim,D6,0.395,0.045,0.042
PNRC2_s31123_unstim,E6,0.343,0.046,0.044
water_unstim,F6,0.332,0.045,0.043
std6,G6,1.131,0.056,0.046
std6,H6,0.77,0.047,0.041
MBNL1_s8553_stim,A7,0.164,0.04,0.039
MBNL1_s8555_stim,B7,0.166,0.042,0.041
HNRNPL_s6740_stim,C7,0.178,0.043,0.042
HNRNPL_s6741_stim,D7,0.178,0.043,0.043
PNRC2_s31123_stim,E7,0.178,0.044,0.043
water_stim,F7,0.184,0.042,0.044
std7,G7,1.137,0.047,0.037
std7,H7,0.549,0.044,0.04
MBNL1_s8553_stim,A8,0.168,0.041,0.04
MBNL1_s8555_stim,B8,0.167,0.042,0.041
HNRNPL_s6740_stim,C8,0.181,0.043,0.042
HNRNPL_s6741_stim,D8,0.178,0.042,0.041
PNRC2_s31123_stim,E8,0.181,0.044,0.042
water_stim,F8,0.189,0.043,0.042
nsb,G8,0.04,0.028,0.028
nsb,H8,0.041,0.033,0.033
MBNL1_s8553_stim,A9,0.183,0.044,0.043
MBNL1_s8555_stim,B9,0.172,0.043,0.042
HNRNPL_s6740_stim,C9,0.159,0.043,0.042
HNRNPL_s6741_stim,D9,0.181,0.043,0.042
PNRC2_s31123_stim,E9,0.182,0.044,0.043
water_stim,F9,0.184,0.043,0.042
mediaOnly,G9,0.586,0.049,0.044
mediaOnly,H9,0.92,0.049,0.042
MBNL1_s8553_stim,A10,0.191,0.044,0.043
MBNL1_s8555_stim,B10,0.164,0.042,0.042
HNRNPL_s6740_stim,C10,0.168,0.042,0.042
HNRNPL_s6741_stim,D10,0.171,0.043,0.042
PNRC2_s31123_stim,E10,0.194,0.044,0.042
water_stim,F10,0.191,0.043,0.043
mediaOnly,G10,0.925,0.053,0.045
mediaOnly,H10,0.919,0.05,0.042
MBNL1_s8553_stim,A11,0.262,0.043,0.041
MBNL1_s8555_stim,B11,0.187,0.043,0.042
HNRNPL_s6740_stim,C11,0.187,0.044,0.043
HNRNPL_s6741_stim,D11,0.201,0.044,0.043
PNRC2_s31123_stim,E11,0.188,0.044,0.043
water_stim,F11,0.193,0.043,0.042
mediaOnly,G11,0.941,0.053,0.045
mediaOnly,H11,0.907,0.054,0.046
MBNL1_s8553_stim,A12,0.302,0.045,0.043
MBNL1_s8555_stim,B12,0.242,0.044,0.043
HNRNPL_s6740_stim,C12,0.174,0.043,0.042
HNRNPL_s6741_stim,D12,0.199,0.043,0.042
PNRC2_s31123_stim,E12,0.19,0.045,0.044
water_stim,F12,0.186,0.044,0.043
mediaOnly,G12,0.903,0.053,0.046
mediaOnly,H12,0.919,0.054,0.046
