Name,Well,Read:450,Read:540,Read:570
PELO_s28808_unstim,A1,0.678,0.05,0.045
PEG10_s23004_unstim,B1,0.647,0.049,0.044
PEG10_s23005_unstim,C1,0.488,0.054,0.05
TRUB1_s44502_unstim,D1,0.354,0.046,0.044
TRUB1_s44503_unstim,E1,0.489,0.049,0.045
water_unstim,F1,0.414,0.047,0.045
std1,G1,0.164,0.044,0.043
std1,H1,0.156,0.046,0.045
PELO_s28808_unstim,A2,0.6,0.045,0.04
PEG10_s23004_unstim,B2,0.646,0.048,0.043
PEG10_s23005_unstim,C2,0.423,0.045,0.042
TRUB1_s44502_unstim,D2,0.35,0.045,0.043
TRUB1_s44503_unstim,E2,0.328,0.047,0.045
water_unstim,F2,0.388,0.046,0.043
std2,G2,0.281,0.046,0.044
std2,H2,0.279,0.045,0.044
PELO_s28808_unstim,A3,0.613,0.047,0.042
PEG10_s23004_unstim,B3,0.679,0.05,0.045
PEG10_s23005_unstim,C3,0.382,0.049,0.048
TRUB1_s44502_unstim,D3,0.358,0.046,0.044
TRUB1_s44503_unstim,E3,0.339,0.046,0.044
water_unstim,F3,0.369,0.046,0.044
std3,G3,0.472,0.053,0.05
std3,H3,0.476,0.047,0.044
PELO_s28808_unstim,A4,0.505,0.046,0.042
PEG10_s23004_unstim,B4,0.568,0.044,0.04
PEG10_s23005_unstim,C4,0.376,0.047,0.045
TRUB1_s44502_unstim,D4,0.35,0.045,0.043
TRUB1_s44503_unstim,E4,0.344,0.042,0.041
water_unstim,F4,0.357,0.046,0.043
std4,G4,0.687,0.05,0.045
std4,H4,0.682,0.049,0.044
PELO_s28808_unstim,A5,0.581,0.044,0.039
PEG10_s23004_unstim,B5,0.646,0.038,0.033
PEG10_s23005_unstim,C5,0.381,0.041,0.038
TRUB1_s44502_unstim,D5,0.356,0.041,0.039
TRUB1_s44503_unstim,E5,0.323,0.046,0.044
water_unstim,F5,0.368,0.046,0.044
std5,G5,0.842,0.053,0.046
std5,H5,0.877,0.053,0.046
PELO_s28808_unstim,A6,0.564,0.042,0.038
PEG10_s23004_unstim,B6,0.715,0.042,0.035
PEG10_s23005_unstim,C6,0.415,0.039,0.036
TRUB1_s44502_unstim,D6,0.334,0.044,0.042
TRUB1_s44503_unstim,E6,0.317,0.046,0.044
water_unstim,F6,0.368,0.047,0.044
std6,G6,0.93,0.055,0.048
std6,H6,0.96,0.054,0.046
PELO_s28808_stim,A7,0.215,0.03,0.029
PEG10_s23004_stim,B7,0.259,0.033,0.032
PEG10_s23005_stim,C7,0.132,0.03,0.032
TRUB1_s44502_stim,D7,0.134,0.043,0.043
TRUB1_s44503_stim,E7,0.137,0.044,0.044
water_stim,F7,0.148,0.044,0.044
std7,G7,0.973,0.055,0.048
std7,H7,0.972,0.053,0.046
PELO_s28808_stim,A8,0.247,0.041,0.039
PEG10_s23004_stim,B8,0.265,0.045,0.043
PEG10_s23005_stim,C8,0.145,0.043,0.043
TRUB1_s44502_stim,D8,0.133,0.044,0.043
TRUB1_s44503_stim,E8,0.128,0.043,0.043
water_stim,F8,0.144,0.044,0.044
nsb,G8,0.055,0.043,0.044
nsb,H8,0.053,0.043,0.043
PELO_s28808_stim,A9,0.257,0.038,0.036
PEG10_s23004_stim,B9,0.285,0.044,0.042
PEG10_s23005_stim,C9,0.148,0.043,0.043
TRUB1_s44502_stim,D9,0.144,0.048,0.047
TRUB1_s44503_stim,E9,0.139,0.052,0.051
water_stim,F9,0.139,0.043,0.043
mediaOnly,G9,0.846,0.053,0.046
mediaOnly,H9,0.822,0.052,0.046
PELO_s28808_stim,A10,0.221,0.041,0.039
PEG10_s23004_stim,B10,0.333,0.044,0.042
PEG10_s23005_stim,C10,0.14,0.048,0.048
TRUB1_s44502_stim,D10,0.132,0.046,0.046
TRUB1_s44503_stim,E10,0.129,0.043,0.043
water_stim,F10,0.147,0.043,0.043
mediaOnly,G10,0.85,0.053,0.046
mediaOnly,H10,0.862,0.053,0.046
PELO_s28808_stim,A11,0.226,0.043,0.042
PEG10_s23004_stim,B11,0.344,0.077,0.075
PEG10_s23005_stim,C11,0.142,0.043,0.043
TRUB1_s44502_stim,D11,0.146,0.044,0.043
TRUB1_s44503_stim,E11,0.128,0.044,0.044
water_stim,F11,0.153,0.044,0.044
mediaOnly,G11,0.891,0.053,0.047
mediaOnly,H11,0.846,0.053,0.046
PELO_s28808_stim,A12,0.227,0.041,0.04
PEG10_s23004_stim,B12,0.507,0.051,0.047
PEG10_s23005_stim,C12,0.138,0.045,0.045
TRUB1_s44502_stim,D12,0.137,0.043,0.043
TRUB1_s44503_stim,E12,0.136,0.044,0.044
water_stim,F12,0.15,0.043,0.043
mediaOnly,G12,0.822,0.052,0.046
mediaOnly,H12,0.853,0.053,0.046
