Name,Well,Read:450,Read:540,Read:570
ELAVL1_s4610_unstim,A1,0.722,0.05,0.045
HNRNPL_s6740_unstim,B1,0.474,0.046,0.043
PEG10_s23005_unstim,C1,0.522,0.047,0.043
TRUB1_s44503_unstim,D1,0.45,0.047,0.043
scramble_unstim,E1,0.498,0.049,0.045
water_unstim,F1,0.547,0.049,0.045
std1,G1,0.182,0.045,0.044
std1,H1,0.177,0.045,0.043
ELAVL1_s4610_unstim,A2,0.717,0.05,0.044
HNRNPL_s6740_unstim,B2,0.484,0.047,0.043
PEG10_s23005_unstim,C2,0.545,0.048,0.044
TRUB1_s44503_unstim,D2,0.471,0.049,0.045
scramble_unstim,E2,0.5,0.048,0.044
water_unstim,F2,0.538,0.048,0.043
std2,G2,0.295,0.045,0.043
std2,H2,0.288,0.045,0.043
ELAVL1_s4610_unstim,A3,0.536,0.047,0.043
HNRNPL_s6740_unstim,B3,0.491,0.047,0.043
PEG10_s23005_unstim,C3,0.542,0.05,0.046
TRUB1_s44503_unstim,D3,0.442,0.047,0.043
scramble_unstim,E3,0.539,0.049,0.045
water_unstim,F3,0.536,0.048,0.044
std3,G3,0.517,0.05,0.045
std3,H3,0.488,0.048,0.044
ELAVL1_s4610_unstim,A4,0.524,0.047,0.044
HNRNPL_s6740_unstim,B4,0.53,0.047,0.043
PEG10_s23005_unstim,C4,0.539,0.048,0.044
TRUB1_s44503_unstim,D4,0.494,0.046,0.043
scramble_unstim,E4,0.535,0.048,0.044
water_unstim,F4,0.555,0.048,0.044
std4,G4,0.716,0.051,0.045
std4,H4,0.695,0.054,0.049
ELAVL1_s4610_unstim,A5,0.502,0.046,0.042
HNRNPL_s6740_unstim,B5,0.532,0.048,0.043
PEG10_s23005_unstim,C5,0.57,0.048,0.044
TRUB1_s44503_unstim,D5,0.489,0.046,0.043
scramble_unstim,E5,0.524,0.048,0.044
water_unstim,F5,0.522,0.047,0.043
std5,G5,0.875,0.053,0.046
std5,H5,0.869,0.053,0.045
ELAVL1_s4610_unstim,A6,0.499,0.045,0.041
HNRNPL_s6740_unstim,B6,0.541,0.048,0.044
PEG10_s23005_unstim,C6,0.572,0.048,0.044
TRUB1_s44503_unstim,D6,0.492,0.047,0.043
scramble_unstim,E6,0.52,0.047,0.043
water_unstim,F6,0.516,0.048,0.044
std6,G6,0.99,0.054,0.046
std6,H6,0.968,0.054,0.045
ELAVL1_s4610_stim,A7,0.197,0.042,0.041
HNRNPL_s6740_stim,B7,0.224,0.043,0.042
PEG10_s23005_stim,C7,0.224,0.043,0.042
TRUB1_s44503_stim,D7,0.208,0.042,0.041
scramble_stim,E7,0.197,0.043,0.042
water_stim,F7,0.216,0.044,0.042
std7,G7,1.023,0.056,0.047
std7,H7,0.974,0.053,0.045
ELAVL1_s4610_stim,A8,0.212,0.043,0.042
HNRNPL_s6740_stim,B8,0.228,0.043,0.042
PEG10_s23005_stim,C8,0.217,0.044,0.042
TRUB1_s44503_stim,D8,0.226,0.042,0.04
scramble_stim,E8,0.222,0.044,0.043
water_stim,F8,0.228,0.044,0.043
nsb,G8,0.059,0.042,0.042
nsb,H8,0.057,0.041,0.041
ELAVL1_s4610_stim,A9,0.211,0.044,0.042
HNRNPL_s6740_stim,B9,0.221,0.043,0.042
PEG10_s23005_stim,C9,0.221,0.044,0.042
TRUB1_s44503_stim,D9,0.216,0.043,0.041
scramble_stim,E9,0.235,0.043,0.041
water_stim,F9,0.212,0.04,0.038
mediaOnly,G9,0.835,0.054,0.047
mediaOnly,H9,0.849,0.053,0.046
ELAVL1_s4610_stim,A10,0.22,0.042,0.041
HNRNPL_s6740_stim,B10,0.219,0.041,0.04
PEG10_s23005_stim,C10,0.226,0.043,0.041
TRUB1_s44503_stim,D10,0.22,0.046,0.045
scramble_stim,E10,0.22,0.043,0.041
water_stim,F10,0.228,0.043,0.042
mediaOnly,G10,0.893,0.053,0.046
mediaOnly,H10,0.934,0.064,0.057
ELAVL1_s4610_stim,A11,0.238,0.045,0.043
HNRNPL_s6740_stim,B11,0.198,0.043,0.042
PEG10_s23005_stim,C11,0.188,0.043,0.042
TRUB1_s44503_stim,D11,0.224,0.044,0.043
scramble_stim,E11,0.244,0.043,0.041
water_stim,F11,0.241,0.044,0.042
mediaOnly,G11,0.844,0.053,0.046
mediaOnly,H11,0.854,0.052,0.045
ELAVL1_s4610_stim,A12,0.25,0.052,0.051
HNRNPL_s6740_stim,B12,0.222,0.044,0.042
PEG10_s23005_stim,C12,0.169,0.043,0.042
TRUB1_s44503_stim,D12,0.197,0.043,0.042
scramble_stim,E12,0.243,0.044,0.042
water_stim,F12,0.267,0.044,0.043
mediaOnly,G12,0.878,0.053,0.045
mediaOnly,H12,0.881,0.05,0.043
